Category,Indicator,Scraped_At
Tổng sản phẩm quốc nội,"Thư viện
Sửa đồ thị",2025-12-16T00:08:11.561848
Tổng sản phẩm quốc nội,FDI dăng ký dự án,2025-12-16T00:08:11.561875
Tổng sản phẩm quốc nội,FDI thực hiện,2025-12-16T00:08:11.561883
Tổng sản phẩm quốc nội,"Mối quan hệ giữa vàng và lãi suất, bơm tiền",2025-12-16T00:08:11.561891
Tổng sản phẩm quốc nội,%HUY ĐỘNG,2025-12-16T00:08:11.561895
Tổng sản phẩm quốc nội,VĐT phát triển XH,2025-12-16T00:08:11.561899
Tổng sản phẩm quốc nội,BÁN LẺ,2025-12-16T00:08:11.561902
Tổng sản phẩm quốc nội,USD.VND 2025,2025-12-16T00:08:11.561905
Tổng sản phẩm quốc nội,Bóc tách CPI YOY,2025-12-16T00:08:11.561908
Tổng sản phẩm quốc nội,"​
​
Khung thời gian:
Quarterly
Kiểu giá trị:
Value",2025-12-16T00:08:11.561917
Tổng sản phẩm quốc nội,"Khung thời gian:
Quarterly",2025-12-16T00:08:11.561922
Tổng sản phẩm quốc nội,Khung thời gian:,2025-12-16T00:08:11.561926
Tổng sản phẩm quốc nội,Quarterly,2025-12-16T00:08:11.561928
Tổng sản phẩm quốc nội,"Kiểu giá trị:
Value",2025-12-16T00:08:11.561932
Tổng sản phẩm quốc nội,Kiểu giá trị:,2025-12-16T00:08:11.561936
Tổng sản phẩm quốc nội,Value,2025-12-16T00:08:11.561938
Tổng sản phẩm quốc nội,Q3-2025,2025-12-16T00:08:11.561942
Tổng sản phẩm quốc nội,Q2-2025,2025-12-16T00:08:11.561944
Tổng sản phẩm quốc nội,Q1-2025,2025-12-16T00:08:11.561946
Tổng sản phẩm quốc nội,Q4-2024,2025-12-16T00:08:11.561949
Tổng sản phẩm quốc nội,Q3-2024,2025-12-16T00:08:11.561951
Tổng sản phẩm quốc nội,Q2-2024,2025-12-16T00:08:11.561953
Tổng sản phẩm quốc nội,Q1-2024,2025-12-16T00:08:11.561955
Tổng sản phẩm quốc nội,Q4-2023,2025-12-16T00:08:11.561958
Tổng sản phẩm quốc nội,Q3-2023,2025-12-16T00:08:11.561960
Tổng sản phẩm quốc nội,Q2-2023,2025-12-16T00:08:11.561962
Tổng sản phẩm quốc nội,Q1-2023,2025-12-16T00:08:11.561964
Tổng sản phẩm quốc nội,Q4-2022,2025-12-16T00:08:11.561966
Tổng sản phẩm quốc nội,Q3-2022,2025-12-16T00:08:11.561968
Tổng sản phẩm quốc nội,Q2-2022,2025-12-16T00:08:11.561970
Tổng sản phẩm quốc nội,Q1-2022,2025-12-16T00:08:11.561972
Tổng sản phẩm quốc nội,GDP THỰC,2025-12-16T00:08:11.561976
Tổng sản phẩm quốc nội,"Nông nghiệp, lâm nghiệp và thủy sản",2025-12-16T00:08:11.562001
Tổng sản phẩm quốc nội,Nông nghiệp,2025-12-16T00:08:11.562022
Tổng sản phẩm quốc nội,Lâm nghiệp,2025-12-16T00:08:11.562043
Tổng sản phẩm quốc nội,Thủy sản,2025-12-16T00:08:11.562065
Tổng sản phẩm quốc nội,Công nghiệp và xây dựng,2025-12-16T00:08:11.562087
Tổng sản phẩm quốc nội,Dịch vụ,2025-12-16T00:08:11.562109
Tổng sản phẩm quốc nội,Thuế sản phẩm trừ trợ cấp sản phẩm,2025-12-16T00:08:11.562132
Tổng sản phẩm quốc nội,"Thông tin mới nhất
Tin quan trọng",2025-12-16T00:08:11.562154
Tổng sản phẩm quốc nội,Thông tin mới nhất,2025-12-16T00:08:11.562158
Tổng sản phẩm quốc nội,Tin quan trọng,2025-12-16T00:08:11.562162
Tổng sản phẩm quốc nội,"THỊ TRƯỜNG
ĐỊNH GIÁ
DÒNG TIỀN
QUỐC TẾ",2025-12-16T00:08:11.562168
Tổng sản phẩm quốc nội,"1Y
2Y
3Y
5Y
10Y
All",2025-12-16T00:08:11.562170
Tổng sản phẩm quốc nội,"DIỄN BIẾN THỊ TRƯỜNG
Q4/2024
Q2/2025
Q3/2025
Vốn hoá
LNST
SLCP lưu hành",2025-12-16T00:08:11.562179
Tổng sản phẩm quốc nội,"Q4/2024
Q2/2025
Q3/2025",2025-12-16T00:08:11.562182
Tổng sản phẩm quốc nội,"Vốn hoá
LNST
SLCP lưu hành",2025-12-16T00:08:11.562187
Tổng sản phẩm quốc nội,Vốn hoá,2025-12-16T00:08:11.562190
Tổng sản phẩm quốc nội,LNST,2025-12-16T00:08:11.562192
Tổng sản phẩm quốc nội,SLCP lưu hành,2025-12-16T00:08:11.562195
Tổng sản phẩm quốc nội,"PE THỊ TRƯỜNG
Q4/2024
Q2/2025
Q3/2025
Average: 14.18
P/E thị trường
Max
Min
Trung bình",2025-12-16T00:08:11.562205
Tổng sản phẩm quốc nội,"Q4/2024
Q2/2025
Q3/2025
Average: 14.18",2025-12-16T00:08:11.562208
Tổng sản phẩm quốc nội,Average: 14.18,2025-12-16T00:08:11.562211
Tổng sản phẩm quốc nội,"P/E thị trường
Max
Min
Trung bình",2025-12-16T00:08:11.562216
Tổng sản phẩm quốc nội,P/E thị trường,2025-12-16T00:08:11.562220
Tổng sản phẩm quốc nội,Trung bình,2025-12-16T00:08:11.562223
Tổng sản phẩm quốc nội,"E/P VNINDEX - LÃI SUẤT HUY ĐỘNG 12 THÁNG
Q4/2024
Q2/2025
Q3/2025",2025-12-16T00:08:11.562231
Tổng sản phẩm quốc nội,"Ghi chú: gdp-thuc
Cá nhân
Thêm ghi chú bằng cách điền
vào ô bên dưới
Nhập ghi chú",2025-12-16T00:08:11.562240
Tổng sản phẩm quốc nội,"Ghi chú: gdp-thuc
Cá nhân",2025-12-16T00:08:11.562245
Tổng sản phẩm quốc nội,Ghi chú: gdp-thuc,2025-12-16T00:08:11.562248
Tổng sản phẩm quốc nội,gdp-thuc,2025-12-16T00:08:11.562250
Tổng sản phẩm quốc nội,Cá nhân,2025-12-16T00:08:11.562253
Tổng sản phẩm quốc nội,"Thêm ghi chú bằng cách điền
vào ô bên dưới",2025-12-16T00:08:11.562259
Tổng sản phẩm quốc nội,Nhập ghi chú,2025-12-16T00:08:11.562262
Tổng sản phẩm quốc nội,"Thị trường
Ngành
Cổ phiếu",2025-12-16T00:08:11.562267
Tổng sản phẩm quốc nội,Thị trường,2025-12-16T00:08:11.562270
Tổng sản phẩm quốc nội,Ngành,2025-12-16T00:08:11.562273
Tổng sản phẩm quốc nội,Cổ phiếu,2025-12-16T00:08:11.562276
Sản xuất và Dịch vụ,"Thư viện
Sửa đồ thị",2025-12-16T00:08:15.659528
Sản xuất và Dịch vụ,FDI dăng ký dự án,2025-12-16T00:08:15.659546
Sản xuất và Dịch vụ,FDI thực hiện,2025-12-16T00:08:15.659555
Sản xuất và Dịch vụ,"Mối quan hệ giữa vàng và lãi suất, bơm tiền",2025-12-16T00:08:15.659565
Sản xuất và Dịch vụ,%HUY ĐỘNG,2025-12-16T00:08:15.659569
Sản xuất và Dịch vụ,VĐT phát triển XH,2025-12-16T00:08:15.659574
Sản xuất và Dịch vụ,BÁN LẺ,2025-12-16T00:08:15.659578
Sản xuất và Dịch vụ,USD.VND 2025,2025-12-16T00:08:15.659581
Sản xuất và Dịch vụ,Bóc tách CPI YOY,2025-12-16T00:08:15.659585
Sản xuất và Dịch vụ,"​
​
Khung thời gian:
Quarterly
Kiểu giá trị:
Value",2025-12-16T00:08:15.659597
Sản xuất và Dịch vụ,"Khung thời gian:
Quarterly",2025-12-16T00:08:15.659603
Sản xuất và Dịch vụ,Khung thời gian:,2025-12-16T00:08:15.659608
Sản xuất và Dịch vụ,Quarterly,2025-12-16T00:08:15.659611
Sản xuất và Dịch vụ,"Kiểu giá trị:
Value",2025-12-16T00:08:15.659616
Sản xuất và Dịch vụ,Kiểu giá trị:,2025-12-16T00:08:15.659620
Sản xuất và Dịch vụ,Value,2025-12-16T00:08:15.659623
Sản xuất và Dịch vụ,Q3-2025,2025-12-16T00:08:15.659627
Sản xuất và Dịch vụ,Q2-2025,2025-12-16T00:08:15.659630
Sản xuất và Dịch vụ,Q1-2025,2025-12-16T00:08:15.659633
Sản xuất và Dịch vụ,Q4-2024,2025-12-16T00:08:15.659636
Sản xuất và Dịch vụ,Q3-2024,2025-12-16T00:08:15.659639
Sản xuất và Dịch vụ,Q2-2024,2025-12-16T00:08:15.659642
Sản xuất và Dịch vụ,Q1-2024,2025-12-16T00:08:15.659644
Sản xuất và Dịch vụ,Q4-2023,2025-12-16T00:08:15.659647
Sản xuất và Dịch vụ,Q3-2023,2025-12-16T00:08:15.659650
Sản xuất và Dịch vụ,Q2-2023,2025-12-16T00:08:15.659653
Sản xuất và Dịch vụ,Q1-2023,2025-12-16T00:08:15.659655
Sản xuất và Dịch vụ,Q4-2022,2025-12-16T00:08:15.659658
Sản xuất và Dịch vụ,Q3-2022,2025-12-16T00:08:15.659660
Sản xuất và Dịch vụ,Q2-2022,2025-12-16T00:08:15.659663
Sản xuất và Dịch vụ,Q1-2022,2025-12-16T00:08:15.659666
Sản xuất và Dịch vụ,GDP THỰC,2025-12-16T00:08:15.659670
Sản xuất và Dịch vụ,"Nông nghiệp, lâm nghiệp và thủy sản",2025-12-16T00:08:15.659701
Sản xuất và Dịch vụ,Nông nghiệp,2025-12-16T00:08:15.659727
